Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
19,1,LD1_19_20_21_22_2023-03-01 12-18-16.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",light,FALSE,1,"(1800, 3600)",0.503609106,0.499722376,2004.000715,201.9856589
19,1,LD1_19_20_21_22_2023-03-01 12-18-16.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",light,FALSE,2,"(3600, 5400)",0.533037202,0.469183787,2634.318133,265.5161148
19,1,LD1_19_20_21_22_2023-03-01 12-18-16.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",light,FALSE,3,"(5400, 7200)",0.536368684,0.465852304,2076.155116,209.2581884
19,1,LD1_19_20_21_22_2023-03-01 12-18-16.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",light,FALSE,4,"(7200, 9000)",0.502777778,0.498333333,2015.178645,203.112296
2,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,0,"(0, 1800)",0.428095502,0.576901721,1857.411339,186.1868186
2,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,1,"(1800, 3600)",0.257634647,0.746807329,1288.765694,129.1858079
2,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,2,"(3600, 5400)",0.175458079,0.824541921,1107.04451,110.9700856
2,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,3,"(5400, 7200)",0,1,783.7826411,78.56633227
2,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,4,"(7200, 9000)",0.415,0.586111111,1071.495055,107.4066101
5,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,0,"(0, 1800)",0.143808995,0.856191005,913.5166004,91.57085778
