"annotation_abrv","annotation_names","parcellation_group","graph_order","ControlVnoTrauma_z","ControlVnoTrauma_p","ControlVTrauma_z","ControlVTrauma_p","TraumaVnoTrauma_t","TraumaVnoTrauma_p","Model_p","Model_padj","Model_fdr","NTvsT_padj","NTvsT_fdr"
"OV","Vascular organ of the lamina terminalis","diencephalon","745",2.22449538828879,0.0261151324445079,2.25751157154712,0.0239761272561682,0.035451820226264,0.971719464091487,0.0628777581461464,0.152143561661179,FALSE,NA,NA
"AD","Anterodorsal nucleus","diencephalon","679",1.2380565160202,0.21569510585756,1.98164248088096,0.0475192690719707,0.798809298189138,0.424400998193926,0.166021131411314,0.288621351530438,FALSE,NA,NA
"SSp-m6b","Primary somatosensory area, mouth, layer 6b","cortical_plate","78",-1.71744397368519,0.0858980829109527,-0.959877058858743,0.337117093469979,0.80530361670699,0.420644495234903,0.237390180124396,0.367466991151463,FALSE,NA,NA
"VPMpc","Ventral posteromedial nucleus of the thalamus, parvicellular part","diencephalon","650",2.52162949962821,0.0116812670001558,1.80095157043385,0.0717105135812026,-0.820814328754816,0.411752035576204,0.0599743512502666,0.150602259806225,FALSE,NA,NA
"MH","Medial habenula","diencephalon","712",-0.31781156919535,0.750627874407287,0.405989477289959,0.684750332111923,0.76768776469141,0.442672706923384,0.745012037405234,0.827384375693282,FALSE,NA,NA
"AUDpo1","Posterior auditory area, layer 1","cortical_plate","144",2.46562760391201,0.0136773448722352,3.79225228092149,0.000149287139512128,1.51279780353053,0.130331026935074,0.00251806709565661,0.0196235573661515,TRUE,0.295083248643817,FALSE
"PO","Posterior complex of the thalamus","diencephalon","669",0.0322865083930129,0.974243568339382,1.98897234140934,0.0467042559278048,2.08751700258666,0.0368414257487244,0.0629443496253109,0.152143561661179,FALSE,NA,NA
"GR","Gracile nucleus","hindbrain","928",0.356747233991294,0.721281041457985,0.402525946650945,0.687296996869993,0.0487321964589308,0.961132717285146,0.912909322164114,0.94183292224027,FALSE,NA,NA
"INC","Interstitial nucleus of Cajal","midbrain","834",0.481217792517059,0.630361716576957,-0.946023595773939,0.344136551371053,-1.5044496378573,0.13246563151704,0.338047700328402,0.474526585554155,FALSE,NA,NA
"FC","Fasciola cinerea","cortical_plate","490",1.50518476625935,0.132276580586854,1.00837220500956,0.313275811292753,-0.527712963521047,0.597698574270834,0.345259282274288,0.482768489745622,FALSE,NA,NA
"ACAd6b","Anterior cingulate area, dorsal part, layer 6b","cortical_plate","231",-1.14437113851145,0.252469752290213,-1.58280674349954,0.11346551923877,-0.465126635537958,0.641840772689723,0.276424048371121,0.412355346084972,FALSE,NA,NA
"VISC6b","Visceral area, layer 6b","cortical_plate","120",1.38638023211649,0.165630829360757,2.09456303246508,0.0362098543196829,0.757754195756022,0.448598147858891,0.137287196107629,0.248215250562592,FALSE,NA,NA
"RSPd4","Retrosplenial area, dorsal part, layer 4","cortical_plate","328",2.73208921303349,0.00629340971693834,1.49117083065767,0.135916649843108,-1.36451505750153,0.17240551842882,0.0465373211043671,0.124466681296887,FALSE,NA,NA
"PPY","Parapyramidal nucleus","hindbrain","981",-0.765667113250603,0.443874399909624,-0.286293967851235,0.774652977822126,0.508090438429366,0.611389920442384,0.740764956928951,0.826730272918236,FALSE,NA,NA
"PBG","Parabigeminal nucleus","midbrain","814",0.838412386573637,0.401799135160081,1.36706957788464,0.171603497804895,0.562592452185031,0.573712432833721,0.407468793684521,0.536955961356862,FALSE,NA,NA
"RL","Rostral linear nucleus raphe","midbrain","863",2.29811498704794,0.021555245484461,1.97411073719103,0.0483691527150656,-0.355692232097864,0.72207106298809,0.0716024489891888,0.164285822046261,FALSE,NA,NA
"IG","Induseum griseum","cortical_plate","491",2.6767124904599,0.00743484041574747,1.80454306902594,0.07114621374389,-0.987452912190092,0.323420656025863,0.0443403522210055,0.121465692144815,FALSE,NA,NA
"SSp-n6b","Primary somatosensory area, nose, layer 6b","cortical_plate","50",-2.42130712737878,0.0154648051974464,-1.26590220776841,0.205548095893964,1.24210740270325,0.214196937640315,0.0645869408689039,0.153648933014445,FALSE,NA,NA
"RO","Nucleus raphe obscurus","hindbrain","996",-1.89763721588957,0.0577438883958492,-1.27116391875467,0.203670339718752,0.723710148630025,0.469243701306431,0.164679293676922,0.287393979698722,FALSE,NA,NA
"LT","Lateral terminal nucleus of the accessory optic tract","midbrain","853",0.345067345448893,0.730043741968471,1.39798456518529,0.162117702218842,1.15295834205748,0.248927483505851,0.317523416599911,0.454179064250506,FALSE,NA,NA
"IV","Trochlear nucleus","midbrain","850",-0.975139996817108,0.329490821035997,0.897024067432748,0.369706074615325,1.95067071721617,0.0510962289140451,0.161410792088941,0.28388201565837,FALSE,NA,NA
