Animal,Experiment,Date,din,state,time,rewarded
06,25c,250701,5,0.0,1751384594.4011574,
06,25c,250701,5,1.0,1751384594.4638538,0.0
06,25c,250701,5,0.0,1751384594.5117264,
06,25c,250701,5,1.0,1751384594.5754192,0.0
06,25c,250701,5,0.0,1751384594.6231792,
06,25c,250701,3,1.0,1751384603.895405,1.0
06,25c,250701,3,0.0,1751384603.9422996,
06,25c,250701,3,1.0,1751384603.990172,0.0
06,25c,250701,3,0.0,1751384604.0220942,
06,25c,250701,3,1.0,1751384604.085378,0.0
06,25c,250701,3,0.0,1751384604.1172917,
06,25c,250701,3,1.0,1751384604.2122922,0.0
06,25c,250701,3,0.0,1751384604.22825,
06,25c,250701,4,1.0,1751384607.97497,1.0
06,25c,250701,4,0.0,1751384608.0223885,
06,25c,250701,4,1.0,1751384608.0702603,0.0
06,25c,250701,4,0.0,1751384608.0872133,
06,25c,250701,4,1.0,1751384608.1500757,0.0
06,25c,250701,4,0.0,1751384608.1819603,
06,25c,250701,4,1.0,1751384608.2288363,0.0
06,25c,250701,4,0.0,1751384608.307959,
06,25c,250701,4,1.0,1751384608.325912,0.0
06,25c,250701,4,0.0,1751384608.371817,
06,25c,250701,4,1.0,1751384608.4349575,0.0
06,25c,250701,4,0.0,1751384608.4828284,
06,25c,250701,4,1.0,1751384608.562282,0.0
06,25c,250701,4,0.0,1751384608.5941992,
06,25c,250701,4,1.0,1751384608.68739,0.0
06,25c,250701,4,0.0,1751384608.7188897,
06,25c,250701,4,1.0,1751384608.7964709,0.0
06,25c,250701,4,0.0,1751384608.84479,
06,25c,250701,4,1.0,1751384631.491995,0.0
06,25c,250701,4,0.0,1751384631.538902,
06,25c,250701,4,1.0,1751384631.585858,0.0
