Animal,Experiment,din,state,time,rewarded
08,25c5,5,0.0,1761068752.20839,
08,25c5,5,1.0,1761068752.269647,0.0
08,25c5,5,0.0,1761068752.3158882,
08,25c5,5,1.0,1761068752.3627856,0.0
08,25c5,5,0.0,1761068752.4257643,
08,25c5,5,1.0,1761068752.47357,0.0
08,25c5,5,0.0,1761068752.5201297,
08,25c5,5,1.0,1761068752.5820386,0.0
08,25c5,5,0.0,1761068752.6454475,
08,25c5,5,1.0,1761068752.691846,0.0
08,25c5,5,0.0,1761068752.7391405,
08,25c5,5,1.0,1761068752.8005042,0.0
08,25c5,5,0.0,1761068752.8471446,
08,25c5,5,1.0,1761068752.8939147,0.0
08,25c5,5,0.0,1761068752.9562278,
08,25c5,5,1.0,1761068753.0031335,0.0
08,25c5,5,0.0,1761068753.0504284,
08,25c5,5,1.0,1761068753.097834,0.0
08,25c5,5,0.0,1761068753.1619115,
08,25c5,5,1.0,1761068753.2089975,0.0
08,25c5,5,0.0,1761068753.2558725,
08,25c5,5,1.0,1761068753.3034725,0.0
08,25c5,5,0.0,1761068753.3660543,
08,25c5,5,1.0,1761068753.412457,0.0
08,25c5,5,0.0,1761068753.4757962,
08,25c5,5,1.0,1761068753.5224028,0.0
08,25c5,5,0.0,1761068753.585535,
08,25c5,5,1.0,1761068753.6334825,0.0
08,25c5,5,0.0,1761068753.681354,
08,25c5,5,1.0,1761068753.7284122,0.0
08,25c5,5,0.0,1761068753.774982,
08,25c5,5,1.0,1761068753.8226268,0.0
08,25c5,5,0.0,1761068753.8861122,
08,25c5,5,1.0,1761068753.9340189,0.0
08,25c5,5,0.0,1761068753.9980783,
08,25c5,5,1.0,1761068754.0457003,0.0
08,25c5,5,0.0,1761068754.1083272,
08,25c5,5,1.0,1761068754.1552246,0.0
08,25c5,5,0.0,1761068754.203052,
08,25c5,4,1.0,1761068757.286379,0.0
08,25c5,4,0.0,1761068757.3330507,
08,25c5,3,1.0,1761068758.5690258,1.0
08,25c5,3,0.0,1761068758.5857034,
08,25c5,3,1.0,1761068758.7736115,0.0
08,25c5,3,0.0,1761068758.8045025,
08,25c5,3,1.0,1761068758.8514094,0.0
08,25c5,3,0.0,1761068758.88278,
08,25c5,3,1.0,1761068758.9285223,0.0
08,25c5,3,0.0,1761068758.975814,
08,25c5,3,1.0,1761068759.0233722,0.0
08,25c5,3,0.0,1761068759.071372,
08,25c5,3,1.0,1761068759.1191468,0.0
08,25c5,3,0.0,1761068759.152061,
08,25c5,3,1.0,1761068759.213895,0.0
08,25c5,3,0.0,1761068759.260585,
08,25c5,3,1.0,1761068759.306955,0.0
08,25c5,3,0.0,1761068759.3549137,
08,25c5,3,1.0,1761068759.4029365,0.0
08,25c5,3,0.0,1761068759.4658282,
08,25c5,3,1.0,1761068759.5133126,0.0
08,25c5,3,0.0,1761068759.575174,
08,25c5,3,1.0,1761068759.6065347,0.0
08,25c5,3,0.0,1761068759.6703644,
08,25c5,3,1.0,1761068759.7176085,0.0
08,25c5,3,0.0,1761068759.7645297,
08,25c5,3,1.0,1761068759.8110633,0.0
08,25c5,3,0.0,1761068759.8581357,
08,25c5,3,1.0,1761068759.9061017,0.0
08,25c5,3,0.0,1761068759.9688523,
08,25c5,3,1.0,1761068760.0167246,0.0
08,25c5,3,0.0,1761068760.0794375,
08,25c5,3,1.0,1761068760.127014,0.0
08,25c5,3,0.0,1761068760.174693,
08,25c5,3,1.0,1761068760.2225373,0.0
08,25c5,3,0.0,1761068760.2856548,
08,25c5,3,1.0,1761068760.3327973,0.0
08,25c5,3,0.0,1761068760.380067,
08,25c5,3,1.0,1761068760.4277556,0.0
08,25c5,3,0.0,1761068760.4749322,
08,25c5,3,1.0,1761068760.5223005,0.0
08,25c5,3,0.0,1761068760.5703366,
08,25c5,3,1.0,1761068760.6179256,0.0
08,25c5,3,0.0,1761068760.679145,
08,25c5,3,1.0,1761068760.7248335,0.0
08,25c5,3,0.0,1761068760.7872074,
08,25c5,3,1.0,1761068760.834122,0.0
08,25c5,3,0.0,1761068760.8808994,
08,25c5,3,1.0,1761068760.9282017,0.0
08,25c5,3,0.0,1761068760.9916997,
08,25c5,3,1.0,1761068761.0396817,0.0
08,25c5,3,0.0,1761068761.0873363,
08,25c5,3,1.0,1761068761.1500854,0.0
08,25c5,3,0.0,1761068761.197783,
08,25c5,3,1.0,1761068761.244722,0.0
08,25c5,3,0.0,1761068761.3066962,
08,25c5,3,1.0,1761068761.3547554,0.0
08,25c5,3,0.0,1761068761.4015129,
08,25c5,3,1.0,1761068761.449061,0.0
08,25c5,3,0.0,1761068761.5116313,
08,25c5,4,1.0,1761068762.9263346,1.0
08,25c5,4,0.0,1761068762.95825,
08,25c5,4,1.0,1761068763.021551,0.0
08,25c5,4,0.0,1761068763.0530615,
08,25c5,4,1.0,1761068763.1000032,0.0
08,25c5,4,0.0,1761068763.148403,
08,25c5,4,1.0,1761068763.194157,0.0
08,25c5,4,0.0,1761068763.240748,
08,25c5,4,1.0,1761068763.3028018,0.0
08,25c5,4,0.0,1761068763.3504174,
08,25c5,4,1.0,1761068763.397483,0.0
08,25c5,4,0.0,1761068763.4447978,
08,25c5,4,1.0,1761068763.50746,0.0
08,25c5,4,0.0,1761068763.5550113,
08,25c5,4,1.0,1761068763.6016097,0.0
08,25c5,4,0.0,1761068763.664985,
08,25c5,4,1.0,1761068763.7288437,0.0
08,25c5,4,0.0,1761068763.7762368,
08,25c5,4,1.0,1761068763.8233118,0.0
08,25c5,4,0.0,1761068763.8863072,
08,25c5,4,1.0,1761068763.933326,0.0
08,25c5,4,0.0,1761068763.980783,
08,25c5,4,1.0,1761068764.043605,0.0
08,25c5,4,0.0,1761068764.0911431,
08,25c5,4,1.0,1761068764.154394,0.0
08,25c5,4,0.0,1761068764.202119,
08,25c5,4,1.0,1761068764.2648003,0.0
08,25c5,4,0.0,1761068764.3278744,
08,25c5,4,1.0,1761068764.3750951,0.0
08,25c5,4,0.0,1761068764.4372869,
08,25c5,4,1.0,1761068764.4847603,0.0
08,25c5,4,0.0,1761068764.5318248,
08,25c5,4,1.0,1761068764.5793686,0.0
08,25c5,4,0.0,1761068764.6411915,
08,25c5,4,1.0,1761068764.6884503,0.0
08,25c5,4,0.0,1761068764.7523234,
08,25c5,4,1.0,1761068764.799529,0.0
08,25c5,4,0.0,1761068764.8620353,
08,25c5,4,1.0,1761068764.909701,0.0
08,25c5,4,0.0,1761068764.9736118,
08,25c5,4,1.0,1761068765.0242398,0.0
08,25c5,4,0.0,1761068765.0830822,
08,25c5,4,1.0,1761068765.1602292,0.0
08,25c5,4,0.0,1761068765.2068307,
08,25c5,5,1.0,1761068767.184874,1.0
08,25c5,5,0.0,1761068767.202149,
08,25c5,5,1.0,1761068767.2624652,0.0
08,25c5,5,0.0,1761068767.2784235,
08,25c5,5,1.0,1761068767.3414774,0.0
08,25c5,5,0.0,1761068767.3730545,
08,25c5,5,1.0,1761068767.4210837,0.0
08,25c5,5,0.0,1761068767.4676535,
08,25c5,5,1.0,1761068767.53108,0.0
08,25c5,5,0.0,1761068767.5624268,
08,25c5,5,1.0,1761068767.6252017,0.0
08,25c5,5,0.0,1761068767.6715674,
08,25c5,5,1.0,1761068767.7186291,0.0
08,25c5,5,0.0,1761068767.7666924,
08,25c5,5,1.0,1761068767.8137434,0.0
08,25c5,5,0.0,1761068767.8771384,
08,25c5,5,1.0,1761068767.9247324,0.0
08,25c5,5,0.0,1761068767.9707348,
08,25c5,5,1.0,1761068768.033991,0.0
08,25c5,5,0.0,1761068768.0814085,
08,25c5,5,1.0,1761068768.1291497,0.0
08,25c5,5,0.0,1761068768.1770546,
08,25c5,5,1.0,1761068768.224425,0.0
08,25c5,5,0.0,1761068768.2867434,
08,25c5,5,1.0,1761068768.3342032,0.0
08,25c5,5,0.0,1761068768.3805394,
08,25c5,5,1.0,1761068768.4274578,0.0
08,25c5,5,0.0,1761068768.4751673,
08,25c5,5,1.0,1761068768.523162,0.0
08,25c5,5,0.0,1761068768.585699,
08,25c5,5,1.0,1761068768.633657,0.0
08,25c5,5,0.0,1761068768.6962965,
08,25c5,5,1.0,1761068768.7282095,0.0
08,25c5,5,0.0,1761068768.789014,
08,25c5,5,1.0,1761068768.8360302,0.0
08,25c5,5,0.0,1761068768.8984785,
08,25c5,5,1.0,1761068768.9458845,0.0
08,25c5,5,0.0,1761068769.008783,
08,25c5,5,1.0,1761068769.0558677,0.0
08,25c5,5,0.0,1761068769.1021984,
08,25c5,5,1.0,1761068769.1494348,0.0
08,25c5,5,0.0,1761068769.195495,
08,25c5,5,1.0,1761068769.2433977,0.0
08,25c5,5,0.0,1761068769.307439,
08,25c5,5,1.0,1761068769.3388438,0.0
08,25c5,5,0.0,1761068769.4016097,
08,25c5,5,1.0,1761068769.4488091,0.0
08,25c5,5,0.0,1761068769.5121665,
08,25c5,3,1.0,1761068771.725834,1.0
08,25c5,3,0.0,1761068771.7574506,
08,25c5,3,1.0,1761068771.819919,0.0
08,25c5,3,0.0,1761068771.850978,
08,25c5,3,1.0,1761068771.898928,0.0
08,25c5,3,0.0,1761068771.9469016,
08,25c5,3,1.0,1761068771.994368,0.0
08,25c5,3,0.0,1761068772.0418148,
08,25c5,3,1.0,1761068772.072932,0.0
08,25c5,3,0.0,1761068772.1368656,
08,25c5,3,1.0,1761068772.1835678,0.0
08,25c5,3,0.0,1761068772.231297,
08,25c5,3,1.0,1761068772.2926364,0.0
08,25c5,3,0.0,1761068772.34017,
08,25c5,3,1.0,1761068772.3876257,0.0
08,25c5,3,0.0,1761068772.4351163,
08,25c5,3,1.0,1761068772.4824538,0.0
08,25c5,3,0.0,1761068772.5302937,
08,25c5,3,1.0,1761068772.5771148,0.0
08,25c5,3,0.0,1761068772.6394083,
08,25c5,3,1.0,1761068772.6864853,0.0
08,25c5,3,0.0,1761068772.734244,
08,25c5,3,1.0,1761068772.796358,0.0
08,25c5,3,0.0,1761068772.844231,
08,25c5,3,1.0,1761068772.8920746,0.0
08,25c5,3,0.0,1761068772.9549074,
08,25c5,3,1.0,1761068772.986853,0.0
08,25c5,3,0.0,1761068773.0506525,
08,25c5,3,1.0,1761068773.0985548,0.0
08,25c5,3,0.0,1761068773.160537,
08,25c5,3,1.0,1761068773.2074466,0.0
08,25c5,3,0.0,1761068773.2537844,
08,25c5,3,1.0,1761068773.3008678,0.0
08,25c5,3,0.0,1761068773.3488452,
08,25c5,3,1.0,1761068773.395685,0.0
08,25c5,3,0.0,1761068773.457812,
08,25c5,3,1.0,1761068773.5054102,0.0
08,25c5,3,0.0,1761068773.552683,
08,25c5,3,1.0,1761068773.6164827,0.0
08,25c5,3,0.0,1761068773.6644907,
08,25c5,3,1.0,1761068773.7122452,0.0
08,25c5,3,0.0,1761068773.77489,
08,25c5,3,1.0,1761068773.821536,0.0
08,25c5,3,0.0,1761068773.8725183,
08,25c5,4,1.0,1761068775.4966948,1.0
08,25c5,4,0.0,1761068775.5279012,
08,25c5,4,1.0,1761068775.6378062,0.0
08,25c5,4,0.0,1761068775.6540604,
08,25c5,4,1.0,1761068775.716921,0.0
08,25c5,4,0.0,1761068775.7488885,
08,25c5,4,1.0,1761068775.7967086,0.0
08,25c5,4,0.0,1761068775.8277864,
08,25c5,4,1.0,1761068775.8747528,0.0
08,25c5,4,0.0,1761068775.9217596,
08,25c5,4,1.0,1761068775.985391,0.0
08,25c5,4,0.0,1761068776.0173044,
08,25c5,4,1.0,1761068776.0805707,0.0
08,25c5,4,0.0,1761068776.1120896,
08,25c5,4,1.0,1761068776.174586,0.0
08,25c5,4,0.0,1761068776.22147,
08,25c5,4,1.0,1761068776.2687335,0.0
08,25c5,4,0.0,1761068776.3153584,
08,25c5,4,1.0,1761068776.3615046,0.0
08,25c5,4,0.0,1761068776.408111,
08,25c5,4,1.0,1761068776.4707644,0.0
08,25c5,4,0.0,1761068776.5027375,
08,25c5,4,1.0,1761068776.5656133,0.0
08,25c5,4,0.0,1761068776.613157,
08,25c5,4,1.0,1761068776.6755912,0.0
08,25c5,4,0.0,1761068776.722947,
08,25c5,4,1.0,1761068776.7856746,0.0
08,25c5,4,0.0,1761068776.833759,
08,25c5,4,1.0,1761068776.879404,0.0
08,25c5,4,0.0,1761068776.9417212,
08,25c5,4,1.0,1761068776.987868,0.0
08,25c5,4,0.0,1761068777.0354018,
08,25c5,4,1.0,1761068777.083419,0.0
08,25c5,4,0.0,1761068777.1464202,
08,25c5,4,1.0,1761068777.1933503,0.0
08,25c5,4,0.0,1761068777.256914,
08,25c5,4,1.0,1761068777.303698,0.0
08,25c5,4,0.0,1761068777.350448,
08,25c5,4,1.0,1761068777.4122052,0.0
08,25c5,4,0.0,1761068777.459616,
08,25c5,4,1.0,1761068777.5073135,0.0
08,25c5,4,0.0,1761068777.570719,
08,25c5,4,1.0,1761068777.6183174,0.0
08,25c5,4,0.0,1761068777.6662183,
08,25c5,4,1.0,1761068777.714154,0.0
08,25c5,4,0.0,1761068777.7764757,
08,25c5,4,1.0,1761068777.8384252,0.0
08,25c5,4,0.0,1761068777.8863108,
08,25c5,5,1.0,1761068780.2880435,1.0
08,25c5,5,0.0,1761068780.3200262,
08,25c5,5,1.0,1761068780.4744842,0.0
08,25c5,5,0.0,1761068780.507454,
08,25c5,5,1.0,1761068780.5697746,0.0
08,25c5,5,0.0,1761068780.6017892,
08,25c5,5,1.0,1761068780.6653702,0.0
08,25c5,5,0.0,1761068780.713213,
08,25c5,5,1.0,1761068780.7604134,0.0
08,25c5,5,0.0,1761068780.808287,
08,25c5,5,1.0,1761068780.8551898,0.0
08,25c5,5,0.0,1761068780.900233,
08,25c5,5,1.0,1761068780.9629247,0.0
08,25c5,5,0.0,1761068781.0094018,
08,25c5,5,1.0,1761068781.0566006,0.0
08,25c5,5,0.0,1761068781.1192732,
08,25c5,5,1.0,1761068781.1671455,0.0
08,25c5,5,0.0,1761068781.2135873,
08,25c5,5,1.0,1761068781.2758536,0.0
08,25c5,5,0.0,1761068781.323487,
08,25c5,5,1.0,1761068781.3713598,0.0
08,25c5,5,0.0,1761068781.4180644,
08,25c5,5,1.0,1761068781.4800808,0.0
08,25c5,5,0.0,1761068781.527476,
08,25c5,5,1.0,1761068781.5893674,0.0
08,25c5,5,0.0,1761068781.6358044,
08,25c5,5,1.0,1761068781.683052,0.0
08,25c5,5,0.0,1761068781.745142,
08,25c5,5,1.0,1761068781.791738,0.0
08,25c5,5,0.0,1761068781.8390322,
08,25c5,5,1.0,1761068781.8997371,0.0
08,25c5,5,0.0,1761068781.945752,
08,25c5,5,1.0,1761068782.0402458,0.0
08,25c5,5,0.0,1761068782.056663,
08,25c5,3,1.0,1761068784.396051,1.0
08,25c5,3,0.0,1761068784.427967,
08,25c5,3,1.0,1761068784.4759169,0.0
08,25c5,3,0.0,1761068784.5078635,
08,25c5,3,1.0,1761068784.5696113,0.0
08,25c5,3,0.0,1761068784.6170654,
08,25c5,3,1.0,1761068784.6628714,0.0
08,25c5,3,0.0,1761068784.7108634,
08,25c5,3,1.0,1761068784.7414603,0.0
08,25c5,3,0.0,1761068784.8038762,
08,25c5,3,1.0,1761068784.849722,0.0
08,25c5,3,0.0,1761068784.8972912,
08,25c5,3,1.0,1761068784.9605706,0.0
08,25c5,3,0.0,1761068785.007801,
08,25c5,3,1.0,1761068785.0536144,0.0
08,25c5,3,0.0,1761068785.1162262,
08,25c5,3,1.0,1761068785.1639273,0.0
08,25c5,3,0.0,1761068785.2257175,
08,25c5,3,1.0,1761068785.2727852,0.0
08,25c5,3,0.0,1761068785.320917,
