Animal,Test,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
2,pre,2,250819_21H2_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",dark,FALSE,2,"(3600, 5400)",0.573014992,0.430871738,1872.950685,140.4254437
2,pre,2,250819_21H2_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",dark,FALSE,3,"(5400, 7200)",0.402554137,0.606329817,1624.871729,121.825596
2,pre,2,250819_21H2_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",dark,FALSE,4,"(7200, 9000)",0.490283176,0.531926707,1072.093431,80.38075797
2,pre,2,250819_21H2_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",dark,FALSE,5,"(9000, 10800)",0.156024431,0.878400888,883.4441637,66.23668186
2,pre,2,250819_21H2_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",dark,FALSE,6,"(10800, 12600)",0.056079956,0.945030539,1036.086036,77.68108497
2,pre,2,250819_21H2_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",dark,FALSE,7,"(12600, 14400)",0.588006663,0.420322043,870.5546069,65.27028069
3,pre,1,250819_21H2_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,0,"(0, 1800)",0.777901166,0.224319822,2667.67403,198.8556969
3,pre,1,250819_21H2_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,1,"(1800, 3600)",0.294280955,0.705719045,2434.786268,181.495608
3,pre,1,250819_21H2_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,2,"(3600, 5400)",0.380344253,0.620766241,2141.351563,159.6221849
3,pre,1,250819_21H2_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,3,"(5400, 7200)",0.411993337,0.58856191,1836.086097,136.8668646
3,pre,1,250819_21H2_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,4,"(7200, 9000)",0.033314825,0.966685175,1491.522618,111.1821632
