Animal,test,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
9,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,3,"(7200, 10800)",0.458206054,0.54346015,3287.353464,249.1870522
9,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,4,"(10800, 14400)",0.095688456,0.904867872,3402.949908,257.9494617
10,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,1,"(0, 3600)",0.228825326,0.772007776,3819.244334,291.9242019
10,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,2,"(3600, 7200)",0.24770897,0.753124132,3472.571938,265.4262736
10,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,3,"(7200, 10800)",0.2610386,0.739516801,3530.193802,269.8306048
10,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,4,"(10800, 14400)",0.485952712,0.514047288,3572.12318,273.0354796
11,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,1,"(0, 3600)",0.133851708,0.867814496,2887.898203,218.9076557
11,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,2,"(3600, 7200)",0.277145237,0.723410164,3915.948568,296.8356433
11,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,3,"(7200, 10800)",0.260483199,0.739516801,2995.061296,227.0308027
11,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,4,"(10800, 14400)",0.475792988,0.525598219,4213.398857,319.3828873
12,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,1,"(0, 3600)",0.282976951,0.720077756,3589.944234,274.3976331
12,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,2,"(3600, 7200)",0.259927798,0.744793113,2747.493482,210.0048523
12,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,3,"(7200, 10800)",0.253262983,0.748125521,2902.544079,221.8561553
12,pre,240318_21H_LD_11_12.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,4,"(10800, 14400)",0.321925431,0.683082916,2887.023522,220.6698404
13,pre,240318_21H_LD_13_14.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,1,"(0, 3600)",0.22160511,0.784504304,2677.035622,202.9239091
13,pre,240318_21H_LD_13_14.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,2,"(3600, 7200)",0.229936129,0.771730075,2864.954786,217.1685052
13,pre,240318_21H_LD_13_14.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,3,"(7200, 10800)",0.221327409,0.780061094,2662.355876,201.811159
